"BehaviorSpace results (NetLogo 6.1.1)"
"Modelo.nlogo"
"experiment"
"07/03/2020 00:45:24:840 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","fakenews-rate","public-groups?","num-users","graphics?","debug?","perc-public-groups","[step]","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users"
"5","10","true","1000","false","false","8","10","102175","101807","47","10844","73","947","29","24","0.368"
"4","10","true","1000","false","false","8","11","104380","103969","43","9178","77","960","19","21","0.411"
"8","10","true","1000","false","false","8","11","107203","106815","38","11694","79","946","26","28","0.388"
"3","10","true","1000","false","false","8","11","110922","110519","34","11068","71","958","22","20","0.403"
"7","10","true","1000","false","false","8","11","104969","104596","40","9577","95","940","22","38","0.373"
"6","10","true","1000","false","false","8","12","119069","118611","48","11931","71","955","23","22","0.458"
"2","10","true","1000","false","false","8","12","119163","118765","41","12454","75","952","24","24","0.398"
"1","10","true","1000","false","false","8","12","125183","124777","37","10511","70","956","21","23","0.406"
"5","10","true","1000","false","false","8","11","121409","121010","47","13685","73","947","29","24","0.399"
"8","10","true","1000","false","false","8","12","125208","124784","40","13681","79","946","26","28","0.424"
"4","10","true","1000","false","false","8","12","125741","125285","46","11246","77","960","19","21","0.456"
"3","10","true","1000","false","false","8","12","132107","131677","38","12862","71","958","22","20","0.43"
"7","10","true","1000","false","false","8","12","121329","120921","42","11545","95","940","22","38","0.408"
"6","10","true","1000","false","false","8","13","136861","136373","49","13352","71","955","23","22","0.488"
"2","10","true","1000","false","false","8","13","137672","137233","45","14618","75","952","24","24","0.439"
"1","10","true","1000","false","false","8","13","144252","143807","39","12709","70","956","21","23","0.445"
"5","10","true","1000","false","false","8","12","139544","139116","51","16732","73","947","29","24","0.428"
"8","10","true","1000","false","false","8","13","142437","141970","43","15260","79","946","26","28","0.467"
"4","10","true","1000","false","false","8","13","146650","146171","49","13398","77","960","19","21","0.479"
"7","10","true","1000","false","false","8","13","138462","138021","45","13888","95","940","22","38","0.441"
"6","10","true","1000","false","false","8","14","155801","155286","51","14873","71","955","23","22","0.515"
"3","10","true","1000","false","false","8","13","155018","154555","41","14488","71","958","22","20","0.463"
"2","10","true","1000","false","false","8","14","156425","155946","50","16766","75","952","24","24","0.479"
"1","10","true","1000","false","false","8","14","162294","161813","41","14855","70","956","21","23","0.481"
"5","10","true","1000","false","false","8","13","156536","156078","52","19356","73","947","29","24","0.458"
"8","10","true","1000","false","false","8","14","159844","159339","46","16663","79","946","26","28","0.505"
"4","10","true","1000","false","false","8","14","166164","165640","50","15300","77","960","19","21","0.524"
"7","10","true","1000","false","false","8","14","156381","155909","49","16077","95","940","22","38","0.472"
"6","10","true","1000","false","false","8","15","176544","175996","54","16441","71","955","23","22","0.548"
"2","10","true","1000","false","false","8","15","174582","174076","51","18666","75","952","24","24","0.506"
"1","10","true","1000","false","false","8","15","180619","180098","49","17016","70","956","21","23","0.521"
"3","10","true","1000","false","false","8","14","178524","178038","43","16137","71","958","22","20","0.486"
"5","10","true","1000","false","false","8","14","172733","172245","56","21421","73","947","29","24","0.488"
"8","10","true","1000","false","false","8","15","177624","177095","47","17860","79","946","26","28","0.529"
"4","10","true","1000","false","false","8","15","185481","184915","54","17071","77","960","19","21","0.566"
"2","10","true","1000","false","false","8","16","192262","191720","54","20560","75","952","24","24","0.542"
"7","10","true","1000","false","false","8","15","174602","174099","51","17888","95","940","22","38","0.503"
"1","10","true","1000","false","false","8","16","198924","198364","51","19005","70","956","21","23","0.56"
"6","10","true","1000","false","false","8","16","197293","196704","58","17810","71","955","23","22","0.589"
"5","10","true","1000","false","false","8","15","188129","187597","61","22950","73","947","29","24","0.532"
"3","10","true","1000","false","false","8","15","200064","199546","46","17777","71","958","22","20","0.518"
"8","10","true","1000","false","false","8","16","195380","194819","50","18978","79","946","26","28","0.561"
"2","10","true","1000","false","false","8","17","210263","209696","56","22457","75","952","24","24","0.567"
"5","10","true","1000","false","false","8","16","203036","202466","68","24089","73","947","29","24","0.57"
"1","10","true","1000","false","false","8","17","216639","216057","53","20906","70","956","21","23","0.582"
"4","10","true","1000","false","false","8","16","204095","203506","54","18630","77","960","19","21","0.589"
"7","10","true","1000","false","false","8","16","193336","192798","52","19570","95","940","22","38","0.538"
"6","10","true","1000","false","false","8","17","216861","216241","62","19222","71","955","23","22","0.62"
"3","10","true","1000","false","false","8","16","219014","218467","52","19037","71","958","22","20","0.547"
"8","10","true","1000","false","false","8","17","213233","212638","55","20166","79","946","26","28","0.595"
"5","10","true","1000","false","false","8","17","218287","217675","73","25299","73","947","29","24","0.612"
"2","10","true","1000","false","false","8","18","227438","226830","62","24171","75","952","24","24","0.608"
"1","10","true","1000","false","false","8","18","235076","234462","56","22766","70","956","21","23","0.614"
"4","10","true","1000","false","false","8","17","222495","221866","56","19947","77","960","19","21","0.629"
"6","10","true","1000","false","false","8","18","236291","235630","68","20745","71","955","23","22","0.661"
"7","10","true","1000","false","false","8","17","211417","210842","54","21151","95","940","22","38","0.575"
"3","10","true","1000","false","false","8","17","235774","235195","53","20206","71","958","22","20","0.579"
"8","10","true","1000","false","false","8","18","231852","231229","58","21671","79","946","26","28","0.623"
"5","10","true","1000","false","false","8","18","234759","234116","76","26923","73","947","29","24","0.643"
"2","10","true","1000","false","false","8","19","244208","243562","65","25800","75","952","24","24","0.646"
"1","10","true","1000","false","false","8","19","255100","254451","56","24522","70","956","21","23","0.649"
"4","10","true","1000","false","false","8","18","240663","240006","58","21245","77","960","19","21","0.657"
"6","10","true","1000","false","false","8","19","254972","254280","71","22298","71","955","23","22","0.692"
"7","10","true","1000","false","false","8","18","229083","228474","59","22600","95","940","22","38","0.609"
"3","10","true","1000","false","false","8","18","251784","251175","54","21725","71","958","22","20","0.609"
"8","10","true","1000","false","false","8","19","250571","249913","64","23875","79","946","26","28","0.658"
"5","10","true","1000","false","false","8","19","253189","252519","80","29125","73","947","29","24","0.67"
"2","10","true","1000","false","false","8","20","261390","260710","72","27392","75","952","24","24","0.68"
"1","10","true","1000","false","false","8","20","275700","275020","59","26260","70","956","21","23","0.68"
"4","10","true","1000","false","false","8","19","258287","257592","62","22512","77","960","19","21","0.695"
"6","10","true","1000","false","false","8","20","273671","272945","74","23816","71","955","23","22","0.726"
"3","10","true","1000","false","false","8","19","267266","266620","56","23358","71","958","22","20","0.646"
"7","10","true","1000","false","false","8","19","247971","247321","64","24166","95","940","22","38","0.65"
"8","10","true","1000","false","false","8","20","268010","267309","64","26484","79","946","26","28","0.701"
"2","10","true","1000","false","false","8","21","279650","278926","77","29164","75","952","24","24","0.724"
"5","10","true","1000","false","false","8","20","272197","271493","83","31468","73","947","29","24","0.704"
"4","10","true","1000","false","false","8","20","276437","275718","64","23619","77","960","19","21","0.719"
"1","10","true","1000","false","false","8","21","295323","294606","62","28090","70","956","21","23","0.717"
"3","10","true","1000","false","false","8","20","283400","282722","59","24885","71","958","22","20","0.678"
"6","10","true","1000","false","false","8","21","292261","291497","79","25445","71","955","23","22","0.764"
"8","10","true","1000","false","false","8","21","285322","284592","67","29051","79","946","26","28","0.73"
"7","10","true","1000","false","false","8","20","267421","266738","68","25752","95","940","22","38","0.683"
"2","10","true","1000","false","false","8","22","299188","298424","80","31334","75","952","24","24","0.764"
"5","10","true","1000","false","false","8","21","291477","290741","88","33941","73","947","29","24","0.736"
"3","10","true","1000","false","false","8","21","299860","299151","65","26228","71","958","22","20","0.709"
"4","10","true","1000","false","false","8","21","295648","294901","70","24696","77","960","19","21","0.747"
"1","10","true","1000","false","false","8","22","314300","313554","65","29982","70","956","21","23","0.746"
"6","10","true","1000","false","false","8","22","310506","309705","82","27291","71","955","23","22","0.801"
"8","10","true","1000","false","false","8","22","303007","302235","73","31331","79","946","26","28","0.772"
"7","10","true","1000","false","false","8","21","287294","286577","71","27308","95","940","22","38","0.717"
"2","10","true","1000","false","false","8","23","318526","317729","86","33895","75","952","24","24","0.797"
"5","10","true","1000","false","false","8","22","310256","309493","94","36286","73","947","29","24","0.763"
"3","10","true","1000","false","false","8","22","316501","315754","71","27429","71","958","22","20","0.747"
"1","10","true","1000","false","false","8","23","333236","332457","66","31755","70","956","21","23","0.779"
"4","10","true","1000","false","false","8","22","315491","314710","74","25724","77","960","19","21","0.781"
"6","10","true","1000","false","false","8","23","328723","327886","85","29135","71","955","23","22","0.837"
"8","10","true","1000","false","false","8","23","321056","320242","77","33244","79","946","26","28","0.814"
"2","10","true","1000","false","false","8","24","337170","336328","92","36433","75","952","24","24","0.842"
